ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Adnyamathanha-1_black-1,,Adnyamathanha,1_black,maRu,maRu,,,Haynie2016,,
Adnyamathanha-2_white-1,,Adnyamathanha,2_white,upa[1],upa,,,Haynie2016,,
Adnyamathanha-3_red-1,,Adnyamathanha,3_red,yalthatyi,yalthatyi,,,Haynie2016,,
Adnyamathanha-4_yellow-1,,Adnyamathanha,4_yellow,"arkutinyi, yaliwarrunha",arkutinyi,,,Haynie2016,,
Adnyamathanha-4_yellow-2,,Adnyamathanha,4_yellow,"arkutinyi, yaliwarrunha",yaliwarrunha,,,Haynie2016,,
Adnyamathanha-5_green-1,,Adnyamathanha,5_green,aRarra virta-i-,aRarra virta-i-,,,Haynie2016,,
Adnyamathanha-6_blue-1,,Adnyamathanha,6_blue,unarru,unarru,,,Haynie2016,,
Adnyamathanha-7_brown-1,,Adnyamathanha,7_brown,yaliwarrunha[2],yaliwarrunha,,,Haynie2016,,
Adnyamathanha-8_grey-1,,Adnyamathanha,8_grey,arru,arru,,,Haynie2016,,
AghuTharnggala-1_black-1,,AghuTharnggala,1_black,lcur,lcur,,,Haynie2016,,
AghuTharnggala-2_white-1,,AghuTharnggala,2_white,naynh,naynh,,,Haynie2016,,
Alyawarr-1_black-1,,Alyawarr,1_black,"errpurl, rrpwerl, irrpwerl; amwak[3]",errpurl,,,Haynie2016,,
Alyawarr-1_black-2,,Alyawarr,1_black,"errpurl, rrpwerl, irrpwerl; amwak[3]",rrpwerl,,,Haynie2016,,
Alyawarr-1_black-3,,Alyawarr,1_black,"errpurl, rrpwerl, irrpwerl; amwak[3]",irrpwerl,,,Haynie2016,,
Alyawarr-1_black-4,,Alyawarr,1_black,"errpurl, rrpwerl, irrpwerl; amwak[3]",amwak,,,Haynie2016,,
Alyawarr-2_white-1,,Alyawarr,2_white,rntralker,rntralker,,,Haynie2016,,
Alyawarr-3_red-1,,Alyawarr,3_red,rnterernter,rnterernter,,,Haynie2016,,
Alyawarr-4_yellow-1,,Alyawarr,4_yellow,arrkit,arrkit,,,Haynie2016,,
Alyawarr-5_green-1,,Alyawarr,5_green,atherrk-atherrk,atherrk-atherrk,,,Haynie2016,,
Antekerrepenh-1_black-1,,Antekerrepenh,1_black,"urrpwerl, urrperl",urrpwerl,,,Haynie2016,,
Antekerrepenh-1_black-2,,Antekerrepenh,1_black,"urrpwerl, urrperl",urrperl,,,Haynie2016,,
Antekerrepenh-2_white-1,,Antekerrepenh,2_white,arlter,arlter,,,Haynie2016,,
